Tradingview 11/22/2023,,,,,,,,,,
Open,high,low,close,VWMA,Histogram,MACD,Signal,,XNYS:QBTS,
 $2.88 , $2.89 , $2.87 , $2.87 , $2.92 ,-0.00959542,-0.009353299,0.000242121,,Date,Close
 $2.87 , $2.88 , $2.87 , $2.88 , $2.92 ,-0.007638423,-0.009305908,-0.001667485,,10/30/2023, $0.88 
 $2.87 , $2.88 , $2.86 , $2.86 , $2.92 ,-0.006915168,-0.010311445,-0.003396277,,11/6/2023, $0.72 
 $2.87 , $2.89 , $2.86 , $2.89 , $2.92 ,-0.004511228,-0.009035311,-0.004524084,,11/13/2023, $0.86 
 $2.88 , $2.89 , $2.87 , $2.87 , $2.92 ,-0.004003106,-0.009527967,-0.00552486,,11/20/2023, $0.86 
 $2.87 , $2.87 , $2.83 , $2.84 , $2.91 ,-0.00498794,-0.011759785,-0.006771845,,11/27/2023, $0.94 
 $2.84 , $2.85 , $2.76 , $2.78 , $2.89 ,-0.009238696,-0.018320215,-0.009081519,,12/4/2023, $1.05 
 $2.78 , $2.84 , $2.78 , $2.82 , $2.88 ,-0.008687452,-0.019940835,-0.011253382,,12/11/2023, $0.98 
 $2.83 , $2.84 , $2.80 , $2.82 , $2.87 ,-0.008103026,-0.021382165,-0.013279139,,12/18/2023, $0.92 
 $2.81 , $2.82 , $2.77 , $2.81 , $2.85 ,-0.007829059,-0.023065462,-0.015236404,,12/26/2023, $0.88 
 $2.81 , $2.82 , $2.81 , $2.82 , $2.85 ,-0.006220956,-0.023012598,-0.016791643,,1/2/2024, $0.82 
 $2.82 , $2.82 , $2.79 , $2.81 , $2.84 ,-0.005474114,-0.023634285,-0.018160171,,,
 $2.80 , $2.81 , $2.78 , $2.78 , $2.84 ,-0.006289324,-0.026021826,-0.019732502,,,
 $2.79 , $2.79 , $2.72 , $2.75 , $2.82 ,-0.008530687,-0.030395861,-0.021865174,,,
 $2.75 , $2.79 , $2.74 , $2.76 , $2.82 ,-0.008331732,-0.032279839,-0.023948107,,,
 $2.75 , $2.88 , $2.75 , $2.88 , $2.82 ,0.000106182,-0.023815379,-0.023921561,,,
